File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,Cr,MnO,Fe2O3,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Cal Check,Ti,Mn,Fe,Sc,Br,I
22,01-01-2006 13:11,051225,240,AMD_01,240,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,3196","9,8585","1,5702","1,7793","24,6043","0,2022","6,3943","0,2500",0,0,"0,7420","7,2626",0,"0,0083","0,2738","0,0793","0,0512",0,"0,0054","0,2600",0,0,0,0,0,0,0,"0,0281",0,0,"0,0516","0,0958",0,"7,7215",0,"0,6500",0,0,0,0,0,0,0,0,0,0,"0,0093",0,"0,0094",0,Passed,0,0,0,0,0,0
23,01-01-2006 13:13,051225,241,AMD_01,241,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"5,5045","2,2536","0,3822","36,7266","0,1473","2,8114",0,0,0,"0,3717","5,7598","0,0344","0,0327","0,7538","0,1119","0,4030",0,"0,0068","0,0897","0,0017",0,0,"0,0100",0,0,0,"0,3061",0,0,"0,0665","0,2127",0,"3,8141",0,"0,2529",0,0,0,0,0,0,0,0,0,0,"0,0107",0,"0,0043",0,Passed,0,0,0,0,0,0
24,01-01-2006 13:17,051225,242,AMD_01,242,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,3168","13,0838","1,9065","0,2873","26,8877","0,4384","6,2066","0,0996",0,0,"0,2346","6,0204",0,"0,0077","0,2532","0,0566","0,0806",0,"0,0156","0,0555","0,0025","0,0037",0,0,0,0,0,"0,1331",0,0,"0,0657","0,0815",0,"1,8710",0,"0,1206",0,0,0,0,0,0,0,0,0,0,"0,0074",0,0,0,Passed,0,0,0,0,0,0
25,01-01-2006 13:20,051225,243,AMD_01,243,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,5885","14,7928","1,8599","0,0947","27,0157","0,2668","2,7427","0,4462","0,0217",0,"0,0490","4,3361",0,"0,0040","0,0235","0,0070","0,0047",0,"0,0099","0,0900","0,0057",0,0,0,0,0,0,0,0,0,0,0,0,"0,0698",0,"0,1026",0,0,0,0,0,0,0,0,0,0,"0,0036",0,0,0,Passed,0,0,0,0,0,0
26,01-01-2006 13:23,051225,244,AMD_01,244,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,9323","12,5689","1,7750","0,2441","26,1288","0,5039","3,1795","0,2069","0,0147",0,"0,2156","7,8938",0,"0,0179","0,2093","0,0568","0,0984",0,"0,0211","0,0563","0,0052","0,0051",0,"0,0061",0,0,0,"0,1121",0,0,"0,0317","0,0568",0,"1,5185",0,"0,1192",0,0,0,0,0,0,0,0,"0,0113",0,"0,0126",0,0,0,Passed,0,0,0,0,0,0
27,01-01-2006 12:01,051225,245,AMD_01,245,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,2915","14,1043","1,5503","0,4968","24,0515","0,1220","3,5497",0,0,0,"1,1452","15,2768",0,"0,0051","0,2527","0,0602","0,0198",0,"0,0036","0,1513","0,0018",0,0,"0,0031",0,0,0,"0,0136",0,0,0,"0,0812",0,"3,8903",0,"0,2488",0,0,0,0,0,0,0,0,0,0,0,0,"0,0037",0,Passed,0,0,0,0,0,0
28,01-01-2006 12:05,051225,246,AMD_01,246,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"8,2886","1,7377","1,6823","27,3249","0,0907","7,7832",0,0,0,"0,5176","2,8451",0,"0,0076","0,9468","0,1312","0,1918",0,0,"0,2967",0,0,0,0,0,0,0,"0,0327","0,0111",0,"0,0571","1,1499",0,"9,5208",0,"0,6562","0,0242",0,0,0,0,0,0,0,0,0,0,0,"0,0077",0,Passed,0,0,0,0,0,0
29,01-01-2006 12:07,051225,247,AMD_01,247,GeoChem,DualMining,"62,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"0,6757","17,9609","1,6643","0,5476","25,1453","0,0484","4,5750",0,0,0,"0,1852","3,2643",0,"0,0391","0,2211","0,0473","0,2417",0,0,"0,1709","0,0023",0,0,0,0,0,0,0,0,0,"0,0370","0,0349",0,"5,8446",0,"0,3359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
30,01-01-2006 12:10,051225,248,AMD_01,248,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"11,2755","1,7185","0,1246","25,3892","0,0489","9,9481",0,"0,0136","0,0105","3,7918","15,9972",0,"0,0039","0,0496","0,4009","0,0165",0,0,"0,0080","0,0014",0,0,0,0,0,0,0,0,0,0,0,0,"0,1701",0,"0,0771",0,0,0,0,0,0,"0,0052",0,0,0,"0,0035",0,0,0,Passed,0,0,0,0,0,0
31,01-01-2006 12:13,051225,249,AMD_01,249,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,9449","9,4215","1,6011","0,0693","22,3013","0,0216","9,8824","0,3682","0,0334","0,0071","0,4360","9,4946",0,"0,0050","0,7164","0,0076","0,0954",0,0,"0,0276","0,0021","0,0027",0,0,0,0,0,0,0,0,0,"0,2253",0,0,0,"0,0640",0,0,0,0,0,0,0,0,0,0,0,"0,0222",0,0,Passed,0,0,0,0,0,0
32,01-01-2006 12:16,051225,250,AMD_01,250,GeoChem,DualMining,"61,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,5158","11,0043","1,7796","0,3270","26,9391","0,3394","7,8138","0,2552","0,0092",0,"0,5315","4,5322",0,0,"0,8260","0,2207","0,0969",0,"0,0152","0,0081","0,0052","0,0074",0,"0,0064",0,0,0,"0,0503",0,0,"0,0302","0,2366",0,"0,1013",0,"0,0449",0,0,0,0,0,0,0,0,0,0,"0,0052",0,0,0,Passed,0,0,0,0,0,0
33,01-01-2006 12:19,051225,251,AMD_01,251,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"6,9777","1,7159","0,4516","25,1010",0,"15,9191",0,0,0,"1,4905","6,7722",0,"0,0380","0,0411","0,0737","0,2646",0,0,"0,0767",0,0,0,0,0,0,0,0,0,0,"0,0343",0,0,"4,7146",0,"0,2473",0,0,0,0,0,0,0,0,0,0,"0,0030",0,0,0,Passed,0,0,0,0,0,0
34,01-01-2006 12:22,051225,252,AMD_01,252,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"0,7927","6,3224","1,3975","1,7313","23,5319","0,0438","5,7371","0,2259",0,0,"2,0947","10,7848",0,"0,0701","0,0683","0,1169","0,4709",0,0,"0,2385",0,0,0,"0,0032",0,0,0,0,0,0,"0,0544",0,0,"9,9025",0,"0,7415",0,0,0,0,0,0,0,0,0,0,0,0,"0,0063",0,Passed,0,0,0,0,0,0
